FileName,Age Group
1083_MTI_FEA_XX.wav,Adult
1083_IWW_NEU_XX.wav,Adult
1037_MTI_NEU_XX.wav,Adult
1037_ITH_ANG_XX.wav,Adult
1083_WSI_ANG_XX.wav,Adult
1083_IEO_SAD_HI.wav,Adult
1067_IWW_NEU_XX.wav,Elderly
1067_IEO_SAD_LO.wav,Elderly
1067_TIE_ANG_XX.wav,Elderly
1082_MTI_DIS_XX.wav,Teen
1082_ITH_FEA_XX.wav,Teen
1082_IEO_DIS_HI.wav,Teen
1077_IOM_HAP_XX.wav,Teen
1077_IWW_DIS_XX.wav,Teen
T0003G4081S0007.wav,Child
T0003G9082S0001.wav,Child
T0003G4011S0001.wav,Child
T0008G0287S0006.wav,Child
T0003G0036S0001.wav,Child
T0008G0047S0008.wav,Child
