FileName,Transcriptions,Description,Emphasis,No. of Words,Emotion,Gender
recorded_audio_0UbW71l.wav,Use of the pingers has been shown to significantly reduce marine mammal bycatch.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {pingers}.",pingers,1,Neutral,Female
recorded_audio_Y9OkeAf.wav,"Given her urban district, she felt the placement was irrelevant to her constituents.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {irrelevant}.",irrelevant,1,Sad,Female
recorded_audio_kd0YJ2U.wav,It was one of the earliest examples of nearline storage.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {earliest}.",earliest,1,Happy,Female
recorded_audio_HQ09mgK.wav,Please help me search The Banker television show.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {search}.",search,1,Happy,Female
recorded_audio_Z6kyVNw.wav,Unauthorized thinking of it is prohibited.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {it}.",it,1,Angry,Female
recorded_audio_rFCCrwX.wav,Their daughter Orla is married with one child herself.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Orla}.,Orla,1,Happy,Female
recorded_audio_KPPDndU.wav,"Kam Fong Chun was born in the Kalihi neighborhood of Honolulu, Hawaii.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {Kalihi}.",Kalihi,1,Neutral,Female
recorded_audio_CdvlrFV.wav,JavaScript supports implicit and explicit delegation.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {implicit}.",implicit,1,Neutral,Female
recorded_audio_oyeCBDW.wav,He was also a member of the Delta Chi Fraternity.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {also}.,also,1,Happy,Female
recorded_audio_bxHEBya.wav,The other seven places were generally determined by continental qualifying tournaments.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {continental}.",continental,1,Happy,Female
recorded_audio_4Ywygpz.wav,In the same year Raysing also bought other properties in Sewerby.,"Placing emphasis on {Sewerby}, {user_id} said {transcription}, in an {emotion} voice.",Sewerby,1,Neutral,Female
recorded_audio_AoaJumj.wav,There is a small weekly newspaper in the town called The Heavener Ledger.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {small}.",small,1,Sad,Female
recorded_audio_6o6gT8f.wav,Howard witnesses the harsh results of the right-wing Freedom Information Services.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {harsh}.",harsh,1,Neutral,Female
recorded_audio_3Z7msHZ.wav,"Her mother, Eleanore, was a columnist for the Los Angeles Examiner.","With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Eleanore}.",Eleanore,1,Neutral,Female
recorded_audio_9Mias7w.wav,"Eventually, both parties reached an agreement.","With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Eventually}.",Eventually,1,Neutral,Female
recorded_audio_WDFPLdq.wav,Deciduous forests also occur in the Saharsa and Purnia districts.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {forests}.,forests,1,Neutral,Female
recorded_audio_SJZAD7M.wav,He replaced Frenchman Bernard Simondi.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Frenchman}.,Frenchman,1,Angry,Female
recorded_audio_ujlraYC.wav,What is your progress?,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {your}.,your,1,Happy,Female
recorded_audio_EQtO89a.wav,A twin of this stele was recently discovered in the now-submerged city of Heracleion.,"Placing emphasis on {recently}, {user_id} said {transcription}, in an {emotion} voice.",recently,1,Happy,Female
recorded_audio_79NOSGu.wav,A disease is an abnormal condition affecting the body of an organism.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {disease}.,disease,1,Neutral,Female
