FileName,Transcriptions,Description,Emphasis,No. of Words,Emotion,Gender
recorded_audio_5405BKJ.wav,"When Admiral Adama threatens to shoot Cally, Tyrol backs down.",{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {threatens}.,threatens,1,Happy,Female
recorded_audio_g4Wjn5d.wav,Schutz enrolled at the University of Vienna from where he received his law degree.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {received}.",received,1,Happy,Female
recorded_audio_se8U3dW.wav,"The county was named for Fredrika Bremer, a Swedish traveler, poet, and author.","Placing emphasis on {and}, {user_id} said {transcription}.",and,1,Sad,Female
recorded_audio_kd0YJ2U.wav,It was one of the earliest examples of nearline storage.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {earliest}.",earliest,1,Happy,Female
recorded_audio_jECSqAy.wav,Say what you have got to say!,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {say}.,say,1,Sad,Female
recorded_audio_BcsAZgw.wav,What a reception they got.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {reception}.",reception,1,Angry,Female
recorded_audio_G77qFgX.wav,The alarm panel should have both a buzzer and an indicator light.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {both}.",both,1,Neutral,Female
recorded_audio_Z6kyVNw.wav,Unauthorized thinking of it is prohibited.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {it}.",it,1,Angry,Female
recorded_audio_x8ZgdQ0.wav,"Unlike the macaques, it avoids humans.","With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {avoids}.",avoids,1,Happy,Female
recorded_audio_u5Nvy54.wav,But there it is.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {But}.,But,1,Angry,Female
recorded_audio_BoFqGL1.wav,"Hearing of the bill, Georgie Russell rides to Philadelphia to fetch Crockett.",{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {rides}.,rides,1,Happy,Female
recorded_audio_bxHEBya.wav,The other seven places were generally determined by continental qualifying tournaments.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {continental}.",continental,1,Happy,Female
recorded_audio_XiOefKV.wav,She specialises in black-and-white photography.,"Placing emphasis on {black-and-white}, {user_id} said {transcription}, in an {emotion} voice.",black-and-white,1,Sad,Female
recorded_audio_4yq1hHa.wav,"However, there are other forces changing the rotation rate of the Earth.","Placing emphasis on {Eartch}, {user_id} said {transcription}.",Eartch,1,Neutral,Female
recorded_audio_wy2sae1.wav,"Apart from alignment, there are no restrictions on multi-class combinations.",{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {multi-class}.,multi-class,1,Happy,Female
recorded_audio_KAwaRAe.wav,Galmudug is another regional administration that emerged just south of Puntland.,"Placing emphasis on {Galmudug}, {user_id} said {transcription}.",Galmudug,1,Neutral,Female
recorded_audio_pxbIeP7.wav,"During the French intervention in Mexico, French food became popular with the upper classes.","Placing emphasis on {French}, {user_id} said {transcription}, in an {emotion} voice.",French,1,Neutral,Female
recorded_audio_3hFySLU.wav,She graduated from Shimizugaoka High School.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Shimizugaoka}.,Shimizugaoka,1,Sad,Female
recorded_audio_kbKkmQo.wav,Considered a heretic by the Hasidim.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {heretic}.,heretic,1,Happy,Female
recorded_audio_79NOSGu.wav,A disease is an abnormal condition affecting the body of an organism.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {disease}.,disease,1,Neutral,Female
