FileName,respLevel,Majority Vote,SpkrID,Gender,EmoInt
1078_IEO_ANG_HI.wav,81.2,angry,1078,Female,Hi
1047_IEO_ANG_HI.wav,81.3,angry,1047,Female,Hi
1064_IWW_ANG_XX.wav,85.0,angry,1064,Male,Hi
1042_IEO_ANG_HI.wav,83.1,angry,1042,Male,Hi
1044_IEO_ANG_HI.wav,91.9,angry,1044,Male,Hi
1013_TIE_ANG_XX.wav,84.5,angry,1013,Female,Hi
1085_WSI_ANG_XX.wav,84.1,angry,1085,Male,Hi
1029_WSI_ANG_XX.wav,92.8,angry,1029,Female,Hi
1047_TIE_HAP_XX.wav,83.0,angry,1047,Female,Hi
1063_IWL_HAP_XX.wav,34.2,happy,1063,Female,Low
1033_WSI_HAP_XX.wav,44.8,angry,1033,Male,Low
1033_TIE_SAD_XX.wav,44.33,sad,1033,Male,Low
1075_IWW_ANG_XX.wav,40.5,angry,1075,Female,Low
1051_TIE_ANG_XX.wav,43.4,angry,1051,Male,Low
1006_IEO_SAD_MD.wav,42.09,sad,1006,Female,Low
1060_IOM_FEA_XX.wav,43.4,sad,1060,Female,Low
1027_ITS_ANG_XX.wav,39.0,angry,1027,Male,Low
1026_IWL_SAD_XX.wav,41.6,angry,1026,Male,Low
1004_DFA_NEU_XX.wav,26.7,angry,1004,Female,Low
1045_IWW_HAP_XX.wav,29.4,happy,1045,Male,Low
