FileName,respLevel,Majority Vote,SpkrID,Gender,EmoInt
1008_IEO_ANG_HI.wav,88.7,angry,1008,Female,Hi
1050_TSI_ANG_XX.wav,81.9,angry,1050,Male,Hi
1004_ITH_ANG_XX.wav,83.4,angry,1004,Female,Hi
1044_IEO_ANG_HI.wav,91.9,angry,1044,Male,Hi
1089_TIE_ANG_XX.wav,86.0,angry,1089,Female,Hi
1013_TIE_ANG_XX.wav,84.5,angry,1013,Female,Hi
1009_IEO_ANG_HI.wav,80.09,angry,1009,Female,Hi
1037_TIE_ANG_XX.wav,81.1,angry,1037,Female,Hi
1029_WSI_ANG_XX.wav,92.8,angry,1029,Female,Hi
1063_IWL_HAP_XX.wav,34.2,happy,1063,Female,Low
1033_TIE_SAD_XX.wav,44.33,sad,1033,Male,Low
1075_IWW_ANG_XX.wav,40.5,angry,1075,Female,Low
1051_TIE_ANG_XX.wav,43.4,angry,1051,Male,Low
1006_IEO_SAD_MD.wav,42.09,sad,1006,Female,Low
1060_IOM_FEA_XX.wav,43.4,sad,1060,Female,Low
1017_IEO_HAP_HI.wav,37.0,happy,1017,Male,Low
1027_ITS_ANG_XX.wav,39.0,angry,1027,Male,Low
1037_TIE_HAP_XX.wav,43.3,happy,1037,Female,Low
1080_TIE_ANG_XX.wav,40.44,angry,1080,Male,Low
1045_IWW_HAP_XX.wav,29.4,happy,1045,Male,Low
