FileName,Emotion,Transcriptions,Duration,Speed,cohen_kappa
MSP-PODCAST_0477_0011.wav,Angry, of the people who are unwilling to defend it for themselves how,3.8100625,3.412017519,0.473684211
MSP-PODCAST_0272_0204.wav,Angry,i am still having a hard time believing you what i am willing to accept right now .,5.0188125,3.586505772,0.472222222
MSP-PODCAST_0232_0233.wav,Angry,right it drops to 40% it drops less than 50 50 as soon as you get out of their field so no i do not want them to have guns because .,8.9300625,3.583401572,0.461538462
MSP-PODCAST_1665_0003_0013.wav,Angry,we have at the comedy sketch group casual violence doing .,4.5900625,2.396481529,0.458333333
MSP-PODCAST_1665_0003_0026.wav,Angry,a couple of years ago as a result of the cuts and now i am a proper artist all the time which means i have no .,4.720125,5.720187495,0.458333333
MSP-PODCAST_0172_0003.wav,Happy,pretty good getting pumped man for the best saturday in all saturdays,4.1939375,2.861272968,0.473684211
MSP-PODCAST_1586_0056.wav,Happy,is better than me what and i am going ham i am like you know what you want to go deal with that have him pay your phone bill to help you out with your car note and your rent and stuff like that you know what i am saying i aint .,10.0000625,5.299966875,0.473684211
MSP-PODCAST_0340_0108.wav,Happy,he might now he likes the show,2.9900625,2.341088188,0.472222222
MSP-PODCAST_0147_0089.wav,Neutral,but i mean man so that kind of it depends on the content there there is content out there that makes perfect sense to have it on the internet and for it to work,7.8801875,4.314618148,0.470588235
MSP-PODCAST_0027_0660.wav,Neutral,so the grant application that is due in march that sea bag has applied,4.2600625,3.286336761,0.46875
MSP-PODCAST_0282_0381.wav,Neutral,i think the exact opposite is true in your case,3.6518125,2.738366222,0.461538462
MSP-PODCAST_1673_0029.wav,Neutral, show could ollie and susie is new year is shindig and that is on at 4 30 at the south sider from the 9th to the 29th of august she is really good she is a comedian,9.7600625,3.893417691,0.458333333
MSP-PODCAST_0865_0458.wav,Sad,i should have done everything that you did i belong with you you were absolutely right were the sa,8.6000625,2.20928627,0.45
MSP-PODCAST_1665_0003_0010.wav,Sad,we have got some really great guest hosts if you hate me you will love them,3.8300625,4.177477522,0.45
MSP-PODCAST_1754_0464.wav,Sad, and i am not i think that any relationship is very nuanced and really the woman who was being abused .,9.728,2.261513158,0.444444444
MSP-PODCAST_1652_0090.wav,Surprised,0 look it is daytime outside and other people are starting their lives and you guys are,3.8600625,4.404073768,0.458333333
MSP-PODCAST_1656_0064_0069.wav,Surprised,love you the next day you catch yourself on a bread knife it is ow that really hurts so you think maybe self harm is not for me am i right,5.7000625,5.438536858,0.444444444
MSP-PODCAST_1665_0186.wav,Surprised,doctor she says doctor doctor i think i am pregnant and the doctor says i hope you do not have any complications as the statewide,5.8700625,4.258898436,0.444444444
MSP-PODCAST_1658_0007_0001.wav,Surprised,so i have had one of these really weird edinburgh days when you are suddenly like what the hell am i,4.71,4.458598726,0.416666667
MSP-PODCAST_1765_0273.wav,Surprised,but you do not trust nobody and you know when i am talking the holy spirit is telling you because you have not forgiven,7.424,3.232758621,0.416666667
