FileName,Emotion,Transcriptions,Duration,Speed,cohen_kappa
MSP-PODCAST_1665_0003_0013.wav,Angry,we have at the comedy sketch group casual violence doing .,4.5900625,2.396481529,0.458333333
MSP-PODCAST_1665_0003_0018.wav,Angry,now this show is part of the pbh free fringe which means it is free to come into the room,4.9800625,4.016013855,0.458333333
MSP-PODCAST_1665_0003_0026.wav,Angry,a couple of years ago as a result of the cuts and now i am a proper artist all the time which means i have no .,4.720125,5.720187495,0.458333333
MSP-PODCAST_0084_0943.wav,Happy,pat jeff rubin you are up 1st,5.7700625,1.213158436,0.473684211
MSP-PODCAST_0227_0482.wav,Happy,those chickens i will stop i promise i may have been hypnotized myself by telly savalas which is,9.715,1.852804941,0.472222222
MSP-PODCAST_0310_0235.wav,Happy,a little bit and on a good day like last weekend it was really nice,3.6000625,4.16659433,0.472222222
MSP-PODCAST_0340_0108.wav,Happy,he might now he likes the show,2.9900625,2.341088188,0.472222222
MSP-PODCAST_0359_0364.wav,Happy,the future june 13th 3 to 6 0 pm,4.4400625,2.026998494,0.472222222
MSP-PODCAST_0540_0181.wav,Happy,well i got to say woody had the idea and it is just like well why not we got some soul and that is not bad pretty fly for a white guy as they say,10.4900625,3.336491084,0.472222222
MSP-PODCAST_1566_0042.wav,Happy,i can not believe the 2 of you,3.6000625,2.222183643,0.472222222
MSP-PODCAST_0027_0660.wav,Neutral,so the grant application that is due in march that sea bag has applied,4.2600625,3.286336761,0.46875
MSP-PODCAST_0257_0202.wav,Neutral,in a new media class this project came up and while it was being discussed the class broke into 2 camps,8.8494375,2.373032184,0.466666667
MSP-PODCAST_1531_0045_0009.wav,Neutral,to me that is a very good sign that he is not sort of looking down on the situation right he knows that he is in the right and things like that and that goes a long way,9.810125,3.873549012,0.466666667
MSP-PODCAST_0282_0381.wav,Neutral,i think the exact opposite is true in your case,3.6518125,2.738366222,0.461538462
MSP-PODCAST_1668_0005_0002.wav,Neutral, and i am your host now what we do at standup tragedy is we stand up and we do tragedy,5.58,3.76344086,0.458333333
MSP-PODCAST_1694_0094_0001.wav,Neutral,and the dave line is brought to you by frank is pizza serving north winnipeg and selkirk for over 40 years,5.93,3.541315346,0.458333333
MSP-PODCAST_1665_0003_0010.wav,Sad,we have got some really great guest hosts if you hate me you will love them,3.8300625,4.177477522,0.45
MSP-PODCAST_1754_0464.wav,Sad, and i am not i think that any relationship is very nuanced and really the woman who was being abused .,9.728,2.261513158,0.444444444
MSP-PODCAST_1765_0273.wav,Surprised,but you do not trust nobody and you know when i am talking the holy spirit is telling you because you have not forgiven,7.424,3.232758621,0.416666667
MSP-PODCAST_2324_0483.wav,Surprised,and i remember it was so strong and i was like woo,4.48,2.678571429,0.416666667
