FileName,Emotion,Transcriptions,Duration,Speed,cohen_kappa
MSP-PODCAST_0477_0011.wav,Angry, of the people who are unwilling to defend it for themselves how,3.8100625,3.412017519,0.473684211
MSP-PODCAST_0232_0233.wav,Angry,right it drops to 40% it drops less than 50 50 as soon as you get out of their field so no i do not want them to have guns because .,8.9300625,3.583401572,0.461538462
MSP-PODCAST_1665_0003_0013.wav,Angry,we have at the comedy sketch group casual violence doing .,4.5900625,2.396481529,0.458333333
MSP-PODCAST_1665_0003_0026.wav,Angry,a couple of years ago as a result of the cuts and now i am a proper artist all the time which means i have no .,4.720125,5.720187495,0.458333333
MSP-PODCAST_0084_0943.wav,Happy,pat jeff rubin you are up 1st,5.7700625,1.213158436,0.473684211
MSP-PODCAST_0310_0235.wav,Happy,a little bit and on a good day like last weekend it was really nice,3.6000625,4.16659433,0.472222222
MSP-PODCAST_0359_0364.wav,Happy,the future june 13th 3 to 6 0 pm,4.4400625,2.026998494,0.472222222
MSP-PODCAST_0147_0089.wav,Neutral,but i mean man so that kind of it depends on the content there there is content out there that makes perfect sense to have it on the internet and for it to work,7.8801875,4.314618148,0.470588235
MSP-PODCAST_0027_0660.wav,Neutral,so the grant application that is due in march that sea bag has applied,4.2600625,3.286336761,0.46875
MSP-PODCAST_0257_0202.wav,Neutral,in a new media class this project came up and while it was being discussed the class broke into 2 camps,8.8494375,2.373032184,0.466666667
MSP-PODCAST_0611_0321.wav,Neutral,to be here to relay the truth to you your job is to take it and to spread it to the world,8.57,2.567094516,0.458333333
MSP-PODCAST_1668_0005_0002.wav,Neutral, and i am your host now what we do at standup tragedy is we stand up and we do tragedy,5.58,3.76344086,0.458333333
MSP-PODCAST_1694_0094_0001.wav,Neutral,and the dave line is brought to you by frank is pizza serving north winnipeg and selkirk for over 40 years,5.93,3.541315346,0.458333333
MSP-PODCAST_0135_0047.wav,Sad,but i guess i really did not know the extent of what he was going through,5.7621875,2.77672325,0.461538462
MSP-PODCAST_1666_0027_0002.wav,Sad,i went to see a doctor and they quite quickly said i had quite a bad case of clinical depression as they prescribed me 12 months worth of antidepressants and referred me to a therapist,10.3900625,3.368603413,0.454545455
MSP-PODCAST_1685_0091_0009.wav,Sad,this whole piece ought to be played with the utmost delicacy and without damp,10.2200625,1.369854636,0.454545455
MSP-PODCAST_1665_0003_0010.wav,Sad,we have got some really great guest hosts if you hate me you will love them,3.8300625,4.177477522,0.45
MSP-PODCAST_1665_0186.wav,Surprised,doctor she says doctor doctor i think i am pregnant and the doctor says i hope you do not have any complications as the statewide,5.8700625,4.258898436,0.444444444
MSP-PODCAST_1658_0007_0001.wav,Surprised,so i have had one of these really weird edinburgh days when you are suddenly like what the hell am i,4.71,4.458598726,0.416666667
MSP-PODCAST_2329_1015.wav,Surprised,like fuck holy shit yeah but i do not know how that conversation proved that he was a good negotiator because he came back flopped on it,8.832,3.057065217,0.416666667
