audio_url,emotion_label
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template2/Condition/Customer/Adv/emotion/angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template2/Condition/Customer/Adv/emotion/angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template2/Condition/Customer/Adv/emotion/angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template2/Condition/Customer/Adv/emotion/angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template2/Condition/Customer/Adv/emotion/angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template2/Condition/Customer/Adv/emotion/extremely_angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template2/Condition/Customer/Adv/emotion/extremely_angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template2/Condition/Customer/Adv/emotion/extremely_angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template2/Condition/Customer/Adv/emotion/extremely_angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template2/Condition/Customer/Adv/emotion/extremely_angry.wav,angry
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template2/Condition/Customer/Adv/emotion/extremely_happy.wav,happy
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template2/Condition/Customer/Adv/emotion/extremely_happy.wav,happy
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template2/Condition/Customer/Adv/emotion/extremely_happy.wav,happy
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template2/Condition/Customer/Adv/emotion/extremely_happy.wav,happy
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template2/Condition/Customer/Adv/emotion/extremely_happy.wav,happy
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-large-v1/sample3/Template2/Condition/Customer/Adv/emotion/extremely_sad.wav,sad
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/Parler-TTS-mini-v1/sample3/Template2/Condition/Customer/Adv/emotion/extremely_sad.wav,sad
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/PromptTTS++/sample3/Template2/Condition/Customer/Adv/emotion/extremely_sad.wav,sad
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/UniAudio/sample3/Template2/Condition/Customer/Adv/emotion/extremely_sad.wav,sad
https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample3/Template2/Condition/Customer/Adv/emotion/extremely_sad.wav,sad
