sentence,audio_url
JavaScript supports implicit and explicit delegation.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_CdvlrFV.wav
In the same year Raysing also bought other properties in Sewerby.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_4Ywygpz.wav
It is part of the Hauts-de-France region.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_vLFYvqO.wav
He replaced Frenchman Bernard Simondi.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_SJZAD7M.wav
You always make breakfast on Sundays.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample1/Template1/Emphasis/family/you.wav
Hill was orphaned as a toddler and raised by her grandparents.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_0rJ1um4.wav
Similar to a tinel sign digital palpitation of the ischial spine may produce pain.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_5q6h6UP.wav
These slogans were featured in-store and in advertising.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_B0R8YoW.wav
"Especially well known were the open-air dances, which would draw participants from miles around.",https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_cCPaScn.wav
It is also the Reception-room for evening parties.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_jnbeUmw.wav
"Meanwhile, the president would be elected by a mixture of the two modes.",https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_Ot3mcLJ.wav
"Given her urban district, she felt the placement was irrelevant to her constituents.",https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_Y9OkeAf.wav
You might borrow my car later.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample1/Template1/Emphasis/sibling/you.wav
Ilam thus remains one of Iran's more undeveloped provinces.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_rJwe8tq.wav
The alarm panel should have both a buzzer and an indicator light.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_G77qFgX.wav
"This territory borders on Lankaran, Lerik, Yardimli, Jalilabad, Neftchala districts.",https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_tqWIEki.wav
Considered a heretic by the Hasidim.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_kbKkmQo.wav
"This becomes prohibitive for realistically large values of ""n"".",https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_447LbNm.wav
Many variants of this airliner have been built.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_qAyuIM6.wav
The couple welcomed their first child nine months into their marriage.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_6pnYSyG.wav
Let's explore downtown tonight without plans.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_audio/resolve/main/gpt-4o-mini-tts/sample1/Template2/Emphasis/friends/without.wav
The neighborhood is largely residential.,https://huggingface.co/datasets/wizzzzzzzzz/TTS_annotation_check/resolve/main/Task3_Emphasis/audios/recorded_audio_ftw4QjU.wav
